epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4039,1.23553,0.7828,1.28699,0.69133,0.6981,0.72732,0.45428,1.19806,0.78273,1.53982,0.00025722,0.00025722,0.00025722
2,33.8012,1.1518,0.73448,1.26726,0.75198,0.68447,0.75536,0.47203,1.20349,0.73919,1.56436,0.000518261,0.000518261,0.000518261
3,46.1084,1.18615,0.75378,1.26894,0.80071,0.65559,0.73373,0.45627,1.25193,0.8025,1.63048,0.00076855,0.00076855,0.00076855
4,58.07,1.17741,0.74907,1.2708,0.75361,0.72216,0.74662,0.47581,1.22351,0.77863,1.60007,0.00100809,0.00100809,0.00100809
5,70.3023,1.21205,0.76092,1.28764,0.73117,0.6398,0.6985,0.44238,1.23396,0.93046,1.60583,0.00123687,0.00123687,0.00123687
6,82.269,1.18291,0.77124,1.31467,0.77549,0.65851,0.72693,0.45557,1.20871,0.81563,1.5517,0.00128753,0.00128753,0.00128753
7,94.3705,1.20184,0.77337,1.28445,0.7336,0.63547,0.70164,0.44956,1.21687,0.83895,1.57691,0.00125923,0.00125923,0.00125923
8,106.421,1.2025,0.77152,1.28457,0.69971,0.6467,0.70407,0.43423,1.21945,0.86529,1.55332,0.00123094,0.00123094,0.00123094
9,118.349,1.22589,0.7685,1.29448,0.70049,0.6852,0.74343,0.45784,1.23788,0.82982,1.58187,0.00120265,0.00120265,0.00120265
10,130.445,1.19509,0.76646,1.27666,0.85499,0.64591,0.72484,0.44217,1.22334,0.8511,1.54494,0.00117435,0.00117435,0.00117435
11,142.459,1.1535,0.75159,1.26991,0.85777,0.69241,0.80939,0.5155,1.1717,0.72589,1.5359,0.00114606,0.00114606,0.00114606
12,154.584,1.18593,0.76258,1.27368,0.75957,0.7424,0.79494,0.4976,1.22748,0.75896,1.60359,0.00111776,0.00111776,0.00111776
13,166.526,1.19575,0.74095,1.2856,0.76554,0.72348,0.77374,0.48991,1.16223,0.7566,1.5052,0.00108947,0.00108947,0.00108947
14,178.663,1.16483,0.72822,1.24782,0.79556,0.68919,0.76368,0.4753,1.17502,0.76703,1.50355,0.00106118,0.00106118,0.00106118
15,190.819,1.18047,0.74387,1.25815,0.75847,0.66678,0.74479,0.47697,1.17065,0.75485,1.51505,0.00103288,0.00103288,0.00103288
16,202.82,1.16645,0.74261,1.26569,0.74531,0.73091,0.76948,0.4807,1.18818,0.7648,1.50057,0.00100459,0.00100459,0.00100459
17,215.017,1.15315,0.7212,1.26385,0.75934,0.74837,0.77237,0.49343,1.15831,0.7129,1.50648,0.000976293,0.000976293,0.000976293
18,227.195,1.15377,0.71997,1.24342,0.78019,0.70923,0.78864,0.50419,1.15063,0.75566,1.48787,0.000947999,0.000947999,0.000947999
